,Provider Name,Complete Address,Contact No.
1,ABELLA MIDWAY HOSPITAL,125 P. VALERO ST. BRGY. POBLACION VALENCIA CITY BUKIDNON,(088) 828-3533
2,ABESAMIS EYE CARE AND CONTACT LENS CENTER (MAKATI BRANCH),"SUITE 904 MEDICAL PLAZA MAKATI, DELA ROSA CORNER AMORSOLO ST., LEGAZPI VILLAGE BRGY. SAN LORENZO MAKATI CITY METRO MANILA",(02) 8556-0816
3,ACCURATE MEDICAL DIAGNOSTICS (MABALACAT BRANCH),"LOT 15 BLOCK 10 MC ARTHUR HI-WAY, MABIGA BRGY. MABIGA MABALACAT PAMPANGA",(045) 331-8706/(045) 893-1550
4,ACCURATE MEDICAL DIAGNOSTICS (ANGELES CITY BRANCH),2442 STO. ENTIERRO ST. BRGY. STO. CRISTO ANGELES CITY PAMPANGA,(045) 626-1823
5,AEROMED AMBULANCE TRANSPORT,50-A OXFORD STREET  CUBAO QUEZON CITY METRO MANILA,(02) 8911-1121
6,AGO GENERAL HOSPITAL,RIZAL ST. BRGY. PINARIC LEGAZPI CITY ALBAY,(052) 820-6592/(052) 245-5435/(052) 481-1137
7,AKLAN COOPERATIVE MISSION HOSPITAL,ROXAS AVENUE EXTENSION BRGY. ANDAGAO KALIBO AKLAN,(036) 268-3855/(036) 262-4705
9,ALABANG MEDICAL CENTER,ALABANG-ZAPOTE ROAD ALABANG MUNTINLUPA METRO MANILA,(02) 8850-8498 / 8807-8189 / 8850-8719
10,ALABANG MEDICAL CLINIC (MAIN),297 MONTILLANO ST. ALABANG MUNTINLUPA METRO MANILA,(02) 8850-1389 / 8842-1639 / 8842-0680
11,ALABANG MEDICAL CLINIC (MUNTINLUPA BRANCH),1 NATIONAL ROAD BRGY. PUTATAN MUNTINLUPA METRO MANILA,(02) 8861-1135 / 8861-1187 / 8861-1778 TO 79
12,ALABANG MEDICAL CLINIC (LAS PIÃ‘AS BRANCH),ALABANG-ZAPOTE ROAD COR PELAYO VILLAGE BRGY. TALON TRES LAS PIÃ‘AS CITY METRO MANILA,(02) 8874-0164/8873-6464/8874-2506
13,ALLAH VALLEY MEDICAL SPECIALISTS CENTER INC.,GEN SAN DRIVE BRGY. PUROK VILLEGAS KORONADAL CITY COTABATO,(083) 228-3550
14,ALMORA GENERAL HOSPITAL,"PUROK 4, BULANAO  TABUK KALINGA",09064384715; 09185639153
15,ALPHA DIAGNOSTIC CENTER,F. RAMOS STREET COR. GEN. ECHAVEZ EXTENSION  CEBU CITY CEBU,(032) 255-5066/(032) 255-0243
